WPM,ACCURACY,TYPE
86,91.85,MECH
97,91.77,MECH
79,85.87,MECH
83,93.24,MECH
86,93.06,MECH
80,84.21,MECH
88,89.78,MECH
82,83.44,MECH
81,81.40,MECH
73,79.79,MECH
74,83.26,MECH
89,88.42,MECH
85,85.54,MECH
78,84.84,MECH
77,83.95,MECH
85,86.86,MECH
86,84.87,MECH
86,85.09,MECH
77,74.14,MECH
87,79.52,MECH
77,79.75,MEMB
93,93.56,MEMB
81,81.00,MEMB
85,88.91,MEMB
84,88.75,MEMB
83,88.49,MEMB
90,93.92,MEMB
100,97.46,MEMB
95,88.64,MEMB
90,83.43,MEMB
91,84.60,MEMB
93,84.34,MEMB
100,89.62,MEMB
98,88.77,MEMB
105,88.26,MEMB
92,81.35,MEMB
104,89.21,MEMB
94,79.73,MEMB
95,89.12,MEMB
94,86.06,MEMB
